gene_symbol,ensembl_id,editor_system,sample,cell_line,condition,edited,raw_count,genome_build,source_file
SNHG14,ENSG00000224078,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,44,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,45,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,592,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,544,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,535,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,1,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,7,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,16,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,11,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,4,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,4,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,4,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
NPAP1,ENSG00000185823,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,2199,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,2339,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,1929,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,986,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,935,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,1148,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,1002,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,1126,hg19,GSE243185_VP64_featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,1162,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,528,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,624,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,574,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,210,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,183,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,194,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,270,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,299,hg19,GSE243185_VP64_featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,336,hg19,GSE243185_VP64_featurecounts.csv.gz
